年度,洲別,國別,總人數
105,歐洲,英國,3815
105,美洲,美國,21127
105,亞洲,日本,8444
106,歐洲,英國,3920
106,美洲,美國,21250
106,亞洲,日本,9642
107,歐洲,英國,3775
107,美洲,美國,21516
107,亞洲,日本,10347
